戏曲专线,#genre#
唢呐高手演奏《河南曲剧》，现场伴奏，悲情唢呐，听哭了！,http://gcw.bdcdn.shoujiduoduo.com/v/191220/9013ac11f2d3b498d134e012852927a1.mp4
曲剧《刘全进瓜》全场戏 南阳市长宏曲剧团演唱,http://gcw.bdcdn.shoujiduoduo.com/v/190920/bd1f1d3a930f50f5ffbed6792da7865a.mp4
河南地方戏 许二强戏曲《秦香莲后传》郑州市曲剧团 郭秋芳领衔主演,http://gcw.bdcdn.shoujiduoduo.com/v/201016/f223500c0e645c1848db0093b47818c1.mp4
李天方唱曲剧《爹怀儿十个月》 一字一句颇有趣味,http://gcw.bdcdn.shoujiduoduo.com/v/191122/1ade9113a8bcc9385cc6e9df9871a27e.mp4
曲剧 刘公案之下南京 洛阳市九都翠玲曲剧团,http://gcw.bdcdn.shoujiduoduo.com/v/201026/22e51c748600e5e42bc5a138c62c5160.mp4
曲剧下朝来一边走一边长叹李天方,http://gcw.bdcdn.shoujiduoduo.com/v/190718/664cfdec0eb7ae39b7ff5c3daab7729c.mp4
曲剧《风雪配》全场 上,http://gcw.bdcdn.shoujiduoduo.com/v/190404/59e91848a56166a30a275089daf59b9a.mp4
张晓英当媒婆，与方素珍、申小梅、杨帅学爆笑表演曲剧《荆钗记》,http://gcw.bdcdn.shoujiduoduo.com/v/210108/8f6b19407cf283a55bb1bdec511fcf8b.mp4
海连池 刘兰玉 马二章主演曲剧《卷席筒》1979年录制,http://gcw.bdcdn.shoujiduoduo.com/v/200807/6b5d21c51c5d6cf4f580155b5ef1f55d.mp4
河南地方戏 刘玲 乔华云演唱曲剧《王小赶脚》选场,http://gcw.bdcdn.shoujiduoduo.com/v/190524/74c592424d50fd8dda66f52b9b30a650.mp4
曲剧 张晓英 教闺女,http://gcw.bdcdn.shoujiduoduo.com/v/210127/870fd252bad1a37fbbc7f19196b2e9cf.mp4
海连池曲剧团 河南曲剧《四郎探母》【探母一折】,http://gcw.bdcdn.shoujiduoduo.com/v/190505/a7900e9cbc6b71e46d7a1a895b103033.mp4
李天方毕松平老师曲剧《李豁子说媒》精彩搞笑! _高清,http://gcw.bdcdn.shoujiduoduo.com/v/190218/94ace5d3a1f02e68621b32b0b3477b9f.mp4
河南曲剧《包公辞朝》兰文祥唱十二月，经典老戏精选唱腔欣赏,http://gcw.bdcdn.shoujiduoduo.com/v/200304/0fd4fbf581484ffebc429692c5aa8d1a.mp4
曲剧《秦香莲》方素珍、侯庆祥、李春景-河南省曲剧团,http://gcw.bdcdn.shoujiduoduo.com/v/190907/9de92127ec2567101234d761b31c1a66.mp4
马骐版河南曲剧《背靴访帅》姜还是老的辣!,http://gcw.bdcdn.shoujiduoduo.com/v/200919/906b70f4cd6f3ad139a2d4986cc48a78.mp4
曲剧：刘垒、郭晓晓、郭艺芳《吴汉杀妻》内录音（洛阳市新安县曲剧团）,http://gcw.bdcdn.shoujiduoduo.com/v/190213/bccccb0837a838d9996b9fae89e4d493.mp4
中原名丑张晓英曲剧《老两口玩浪漫》真搞笑！,http://gcw.bdcdn.shoujiduoduo.com/v/190330/4f21f789c48f1c4a9c739e26056a65af.mp4
曲剧《王华买爹》（第三本上部》,http://gcw.bdcdn.shoujiduoduo.com/v/190528/884972112cd71635aadfc3cad51a80a8.mp4
曲剧《风雪配》选段,http://gcw.bdcdn.shoujiduoduo.com/v/190315/5d17a97a41c3debe8551adc2928b1ed8.mp4
曲剧-海连池《卷席筒》大老爷你稳坐在察院,http://gcw.bdcdn.shoujiduoduo.com/v/190511/4951d7d9e0b1a93c4fa696f45d5ac664.mp4
曲剧《柜中缘》,http://gcw.bdcdn.shoujiduoduo.com/v/190224/a43970035d5ea22b1d9e0e7b60415bd4.mp4
曲剧《包公辞朝》怒打王强-马遂合演唱,http://gcw.bdcdn.shoujiduoduo.com/v/191207/e3686f25f7c417454dbd2be4d0fbc87b.mp4
曲剧《风雪配》装箱-刘艳丽 秦芳欣表演,http://gcw.bdcdn.shoujiduoduo.com/v/190613/1b015c533e065640f025f440158384ae.mp4
曲剧全场戏《窦娥冤》张晓红 刘爱云 郑庆恩,http://gcw.bdcdn.shoujiduoduo.com/v/190609/52cc4815d20d9c25c643fe4366df6c8e.mp4
曲剧_陈三两(孔素红)陈三两漫步上公庭,http://gcw.bdcdn.shoujiduoduo.com/v/190710/916c9cf23da02dfea6e1bc13dd328bf6.mp4
曲剧艺术片《卷席筒》完整版,http://gcw.bdcdn.shoujiduoduo.com/v/190116/87ca5f71fb26343cfa7585396690e072.mp4
曲艺团下乡演出曲剧全场《王小赶脚》 唱的真好听!,http://gcw.bdcdn.shoujiduoduo.com/v/190726/03e697b4f2039b78418bc3735a014dfa.mp4
海连池曲剧《卷席筒》经典选段：小仓娃跪大堂诉冤枉,http://gcw.bdcdn.shoujiduoduo.com/v/190223/09e4765a1fdf115854f683e7fa863377.mp4
河南曲剧鞭打芦花 李天方大师 十冬腊月天你不该拿着那芦花当丝棉,http://gcw.bdcdn.shoujiduoduo.com/v/190519/46d622ba7c7985c5e8045be5a1975188.mp4
曲剧《寇准背靴》李亚军、刘艳丽（周末大戏院版）-戏曲曲剧大全,http://gcw.bdcdn.shoujiduoduo.com/v/190704/a0717ffc8ca402fdbaa8aae339212aee.mp4
李天方夫妇演唱曲剧《苍娃找爹》就是牛!,http://gcw.bdcdn.shoujiduoduo.com/v/190624/0a20f9fccd7449afab722eed0ef0eedf.mp4
曲剧舞台版《卷席筒》跪大堂-海连池演唱,http://gcw.bdcdn.shoujiduoduo.com/v/190215/da8d8e3ce8c4102722492c5f222f9a1a.mp4
曲剧名家胡希华曲剧《李豁子我遭了啥罪》,http://gcw.bdcdn.shoujiduoduo.com/v/190711/123d9450d12ba8ac814e5842c1463256.mp4
曲剧《寇准背靴》马琪，下朝来一边走一边长叹,http://gcw.bdcdn.shoujiduoduo.com/v/191213/9cee14027d15a56c4e9a0c515cadab96.mp4
“小仓娃我离了-登封小县”选段-曲剧《卷席筒》杨帅学,http://gcw.bdcdn.shoujiduoduo.com/v/190602/8b28dec624f172d186f11fc7290c48ff.mp4
曲剧《卷席筒》小仓娃生来灾星重 海连池 郑州市曲剧团,http://gcw.bdcdn.shoujiduoduo.com/v/190404/52298ebc73c6ef8b36a34ad9e09c924d.mp4
曲剧名家董秀娟高徒薛爱红《卷席筒》经典唱段, 抱娇儿止不住悲声大放!,http://gcw.bdcdn.shoujiduoduo.com/v/190608/194edc031eeaed2d7f7ca2589e6768ec.mp4
曲剧包公辞朝选段 名家兰文祥 万岁稳坐听臣讲 听臣把心病奏吾皇,http://gcw.bdcdn.shoujiduoduo.com/v/190624/2f080bc5a284f70f38b92664a9e3444f.mp4
杨帅学 刘艳丽演唱曲剧《老鼠嫁女》好玩!,http://gcw.bdcdn.shoujiduoduo.com/v/200914/865e9898babe5bee65b4e7a834390aae.mp4
戏曲大全《怜娟之死》河南曲剧全场戏 曲剧大全1,http://gcw.bdcdn.shoujiduoduo.com/v/191009/7d5524c35adc0763d87868a140b051be.mp4
河南曲剧三子争父选段 老天哪你为啥不睁眼 年老人怎禁这风雪旋!,http://gcw.bdcdn.shoujiduoduo.com/v/190605/6b44b90dfad0379f6cc6ae14354af580.mp4
海连池 曲剧《卷席筒》选段（哥哥公堂审小仓娃），好听极了！,http://gcw.bdcdn.shoujiduoduo.com/v/190116/5b165a2763702ec356be7efde2503a4a.mp4
曲剧全场戏《包公辞朝》之九 南阳市金红曲剧团演唱,http://gcw.bdcdn.shoujiduoduo.com/v/190714/79f329b25bd56d24d99d64c49da7ca84.mp4
曲剧全场戏《包公辞朝》之十二 南阳市金红曲剧团演唱,http://gcw.bdcdn.shoujiduoduo.com/v/190926/edde31e6fcbc72a7ef2203b9b9cad3a0.mp4
曲剧《李豁子劝妻》李天方演唱 不愧是戏曲上的不倒翁,http://gcw.bdcdn.shoujiduoduo.com/v/190617/d37e4e0a63b5cfd4ec0c05edb64351e4.mp4
( (曲剧【秦香莲】全场●河南省曲剧团●★mp4,http://gcw.bdcdn.shoujiduoduo.com/v/190318/114d1ca4f536bc0b172ceb9ddb07eb36.mp4
河南曲剧《包公辞朝》十八哭选段 李天方演唱,http://gcw.bdcdn.shoujiduoduo.com/v/190609/6690ac91bca405dca8cada0ced8b054d.mp4
李天方唱曲剧《爹怀儿十个月》第一次听说，真笑人,http://gcw.bdcdn.shoujiduoduo.com/v/190624/87ee92fc1bce1532a46b66ebb871b86a.mp4
曲剧《风雪配》全剧 刘艳丽、杨帅学、胡秀琴,http://gcw.bdcdn.shoujiduoduo.com/v/191206/708c4aa9a01ad1ad6346c5b55e68ec0f.mp4
20130928李豁子唱段.曲剧表演艺术家李天方演唱,http://gcw.bdcdn.shoujiduoduo.com/v/190304/951409acd26e4d06be3d1b6ea1bc4ad8.mp4
曲剧表演艺术家海连池演唱《卷席筒》选段，名家唱腔就是不一样！,http://gcw.bdcdn.shoujiduoduo.com/v/190315/d6eb40806ea20e1e74d92b81c4d95316.mp4
曲剧小折子《孤男寡女》李天方,http://gcw.bdcdn.shoujiduoduo.com/v/190706/3676c145c6f733a449f10d5bf1c6f500.mp4
曲剧全场戏《包公辞朝》之二 南阳市金红曲剧团演唱,http://gcw.bdcdn.shoujiduoduo.com/v/191003/1dacb6c7907dae26e14d1043cdcc8800.mp4
曲剧《清风亭上》李树建大师演唱 凄惨结局!,http://gcw.bdcdn.shoujiduoduo.com/v/190703/964530e611ef9c0f468187530ff35df5.mp4
曲剧全场戏【下陈州】上集★,http://gcw.bdcdn.shoujiduoduo.com/v/191207/33327eea240ea54022d0024e4c8c8454.mp4
曲剧《打龙袍》全场戏上部 南阳市宛东青年曲剧团,http://gcw.bdcdn.shoujiduoduo.com/v/191012/bb2fb4f0811d29c56dd6edfd9427b752.mp4
曲剧《卷席筒》小仓娃我离了登封小县 不一样的唱段 好听,http://gcw.bdcdn.shoujiduoduo.com/v/190203/578c5362ec8840f354a99196387f11d5.mp4
曲剧《李豁子离婚》张晓红, 新婚夜红灯亮鼓乐齐鸣,http://gcw.bdcdn.shoujiduoduo.com/v/201113/680de1c6c1d7fdeac9c8f24a966cf008.mp4
现代曲剧--《慈母情和慈母心》合集。,http://gcw.bdcdn.shoujiduoduo.com/v/201112/274d53474cf5251ff953ce385c73cc67.mp4
曲剧《寇准背靴》马琪、李天方，强敌年年犯北塞,http://gcw.bdcdn.shoujiduoduo.com/v/190822/cbb88206efe42586e8a0a905bfdf62fe.mp4
曲剧《王宝钏》选段 急登上望夫台 方素珍悲情曲剧 （梨园春版）,http://gcw.bdcdn.shoujiduoduo.com/v/190822/5668e504ad82c60607d315479d821990.mp4
曲剧《红娘》曲剧名家刘青演唱,http://gcw.bdcdn.shoujiduoduo.com/v/201226/d0513575077086a2c479c2b06220e361.mp4
曲剧《秦香莲》 河南省曲剧团,http://gcw.bdcdn.shoujiduoduo.com/v/190130/f825d70cb7e1820a4e75a050793dc241.mp4
曲剧 梨花情 方素珍 赵晓 郝春燕 罗庆勇 冯彩云 海华民,http://gcw.bdcdn.shoujiduoduo.com/v/201130/e3fb06f9aaf497604d811e8de2af182d.mp4
梨园春-张新芳老师的原唱版曲剧《陈三两》选段，值得收藏！,http://gcw.bdcdn.shoujiduoduo.com/v/190226/f7a57a37c18d5c6b52015c3e3932afb9.mp4
河南曲剧《陈三两爬堂》选段：陈奎家住陕西延安城 演唱：鑫儿 视频录制： 菏航,http://gcw.bdcdn.shoujiduoduo.com/v/200304/aa62b08f4acc8ddb492fdc3f5b60bb06.mp4
曲剧 王华买爹完整版。平顶山曲剧 团演唱,http://gcw.bdcdn.shoujiduoduo.com/v/190125/ae2171e37909f87af12c02403c484f9f.mp4
曲剧 【王华买爹】平顶山曲剧 团演唱(第1集),http://gcw.bdcdn.shoujiduoduo.com/episodes/210712/10033019/eac79457c0bbc458be19715b4bdc573f.mp4
曲剧 【王华买爹】平顶山曲剧 团演唱(第2集),http://gcw.bdcdn.shoujiduoduo.com/episodes/210712/10033019/060dde67d9a7e11898d2ab7d473b5509.mp4
曲剧 【王华买爹】平顶山曲剧 团演唱(第3集),http://gcw.bdcdn.shoujiduoduo.com/episodes/210712/10033019/55da4c403d2ea51fa5602f304d4febc3.mp4
曲剧 【王华买爹】平顶山曲剧 团演唱(第4集),http://gcw.bdcdn.shoujiduoduo.com/episodes/210712/10033019/5348bfafcc6ac127374cc1c6ac60c40d.mp4
曲剧 【王华买爹】平顶山曲剧 团演唱(第5集),http://gcw.bdcdn.shoujiduoduo.com/episodes/210712/10033019/9beb3bb3d9ca75c6b49e9850663c3445.mp4
曲剧 【王华买爹】平顶山曲剧 团演唱(第6集),http://gcw.bdcdn.shoujiduoduo.com/episodes/210712/10033019/27bfba291a0fb4f0bce5377b27f709f5.mp4
曲剧 【王华买爹】平顶山曲剧 团演唱(第7集),http://gcw.bdcdn.shoujiduoduo.com/episodes/210712/10033019/92fa5f80e4dc70d3fdea32b0c386a821.mp4
曲剧 【王华买爹】平顶山曲剧 团演唱(第8集),http://gcw.bdcdn.shoujiduoduo.com/episodes/210712/10033019/4d8c7e2a580139492731295fe5226440.mp4
曲剧 【王华买爹】平顶山曲剧 团演唱(第9集),http://gcw.bdcdn.shoujiduoduo.com/episodes/210712/10033019/aa7c05e469ac34bb9a67cc28062381ca.mp4
二人台红红火火二人台,http://gcw.bdcdn.shoujiduoduo.com/v/190706/e9cfd643c90fea9081e6ae5d18b654f0.mp4
舂之声艺术团大同公园文艺演出【红红火火二人台】高静华，宋秀梅演唱,http://gcw.bdcdn.shoujiduoduo.com/v/190905/a302b1f80b8bffa873b81a54cd06bda7.mp4
家乡二人台《走西口》刁敏亚苏,http://gcw.bdcdn.shoujiduoduo.com/v/200326/07539dd2fe81ac79a5e42a333a2993cd.mp4
二人台传统剧目《种洋烟》,http://gcw.bdcdn.shoujiduoduo.com/v/200224/4b9ccc2437f42dcfe3614bb6ba90ecc7.mp4
康保二人台: 挂红灯2, 好看的二人台连续看,http://gcw.bdcdn.shoujiduoduo.com/v/191009/f8f14e1a3d2122b322acef4d40b963d4.mp4
二人台《卖油》武利平,http://gcw.bdcdn.shoujiduoduo.com/v/191020/f30535c29135b2d97066f459aaf44ef2.mp4
二人台传统戏《害娃娃》张飞 侯改霞 王茂林,http://gcw.bdcdn.shoujiduoduo.com/v/190925/29d1d265eb98e2ceb273c8090f19c71e.mp4
二人台传统戏《卖碗》刘俊青 郭美清 王茂林,http://gcw.bdcdn.shoujiduoduo.com/v/191109/4ddcbf706025b04b2a1c97e501777bb6.mp4
二人台-借笊篱,http://gcw.bdcdn.shoujiduoduo.com/v/200302/954ba57467c5a9e254a9fb248fb8fba8.mp4
二人台剧场：二人台小戏路遇，迟银寿师国翠姚淑林表演,http://gcw.bdcdn.shoujiduoduo.com/v/191028/237149b7a9492d948b264beec7d733ef.mp4
